keypoint_id,model_name,mean_distance_px,median_distance_px,mean_normalized_distance,num_compared
0,yolo26l-pose,2.87,2.45,0.0022,118
0,yolo26m-pose,3.65,2.86,0.0028,116
0,yolo26n-pose,3.86,3.88,0.003,118
0,yolo26s-pose,4.11,4.23,0.0032,120
1,yolo26n-pose,4.2,4.05,0.0032,28
1,yolo26s-pose,1.7,1.68,0.0013,27
2,yolo26n-pose,1.41,1.41,0.0011,1
2,yolo26s-pose,4.65,4.65,0.0035,1
3,yolo26l-pose,4.67,4.77,0.0035,106
3,yolo26m-pose,2.91,2.77,0.0022,107
3,yolo26n-pose,5.52,5.35,0.0042,106
3,yolo26s-pose,3.37,2.95,0.0025,107
4,yolo26l-pose,6.34,6.57,0.0048,109
4,yolo26m-pose,2.36,2.29,0.0018,109
4,yolo26n-pose,7.35,7.5,0.0056,109
4,yolo26s-pose,5.9,6.14,0.0045,109
5,yolo26l-pose,6.39,5.59,0.0048,334
5,yolo26m-pose,6.34,5.84,0.0047,381
5,yolo26n-pose,13.51,9.74,0.0099,386
5,yolo26s-pose,5.6,5.06,0.0042,342
6,yolo26l-pose,7.02,6.31,0.0052,418
6,yolo26m-pose,10.24,9.38,0.0076,483
6,yolo26n-pose,16.45,15.74,0.0121,484
6,yolo26s-pose,8.5,7.26,0.0064,416
7,yolo26l-pose,9.76,9.04,0.0071,1417
7,yolo26m-pose,10.26,8.78,0.0075,1417
7,yolo26n-pose,14.91,10.45,0.0107,1417
7,yolo26s-pose,13.08,9.68,0.0094,1417
8,yolo26l-pose,10.12,8.64,0.0074,1417
8,yolo26m-pose,11.12,7.58,0.008,1417
8,yolo26n-pose,19.63,16.34,0.0141,1417
8,yolo26s-pose,13.68,10.62,0.0099,1417
9,yolo26l-pose,13.77,13.73,0.01,1417
9,yolo26m-pose,10.72,9.25,0.0078,1417
9,yolo26n-pose,19.9,14.76,0.0144,1417
9,yolo26s-pose,12.75,8.98,0.0092,1417
10,yolo26l-pose,10.74,9.28,0.0079,1417
10,yolo26m-pose,10.12,8.16,0.0073,1417
10,yolo26n-pose,14.56,11.0,0.0106,1417
10,yolo26s-pose,13.61,10.69,0.0099,1417
11,yolo26l-pose,17.27,14.96,0.0126,1417
11,yolo26m-pose,21.41,20.39,0.0156,1417
11,yolo26n-pose,47.92,48.91,0.035,1417
11,yolo26s-pose,24.71,23.82,0.018,1417
12,yolo26l-pose,14.42,12.24,0.0106,1417
12,yolo26m-pose,20.0,18.55,0.0145,1417
12,yolo26n-pose,46.12,46.23,0.0338,1417
12,yolo26s-pose,24.17,23.47,0.0176,1417
13,yolo26l-pose,14.33,14.34,0.011,158
13,yolo26m-pose,11.28,9.81,0.0089,159
13,yolo26n-pose,23.61,24.64,0.0187,158
13,yolo26s-pose,20.84,20.4,0.0162,157
14,yolo26l-pose,8.96,8.42,0.007,166
14,yolo26m-pose,10.25,10.3,0.0079,170
14,yolo26n-pose,29.78,27.17,0.0234,178
14,yolo26s-pose,16.24,16.89,0.0126,165
